min_samples_leaf,max_features,cv_seed,folds,accuracy,macro_f1,balanced_accuracy,normal_recall,n_files,feature_family
3,0.5,11,2,0.885714285714286,0.812369874529584,0.91031746031746,1,70,single_band_physics
3,0.5,29,2,0.885714285714286,0.791866028708134,0.907539682539683,1,70,single_band_physics
3,0.5,42,2,0.857142857142857,0.769447739275326,0.879761904761905,1,70,single_band_physics
3,0.5,71,2,0.885714285714286,0.791866028708134,0.907539682539683,1,70,single_band_physics
3,0.5,97,2,0.9,0.813716145612697,0.924206349206349,1,70,single_band_physics
3,0.75,11,2,0.9,0.827797202797203,0.924206349206349,1,70,single_band_physics
3,0.75,29,2,0.885714285714286,0.791866028708134,0.907539682539683,1,70,single_band_physics
3,0.75,42,2,0.828571428571429,0.741938583887881,0.865476190476191,1,70,single_band_physics
3,0.75,71,2,0.9,0.818215870454676,0.924206349206349,1,70,single_band_physics
3,0.75,97,2,0.885714285714286,0.798737373737374,0.91031746031746,1,70,single_band_physics
3,1.0,11,2,0.9,0.827797202797203,0.924206349206349,1,70,single_band_physics
3,1.0,29,2,0.885714285714286,0.791866028708134,0.907539682539683,1,70,single_band_physics
3,1.0,42,2,0.814285714285714,0.732537577365164,0.858333333333333,1,70,single_band_physics
3,1.0,71,2,0.9,0.818215870454676,0.924206349206349,1,70,single_band_physics
3,1.0,97,2,0.885714285714286,0.798737373737374,0.91031746031746,1,70,single_band_physics
1,sqrt,11,2,0.928571428571429,0.94330981227533,0.941269841269841,1,70,multiband_title_bsf
1,sqrt,29,2,0.914285714285714,0.923852657004831,0.921825396825397,1,70,multiband_title_bsf
1,sqrt,42,2,0.9,0.904671815675872,0.907936507936508,1,70,multiband_title_bsf
1,sqrt,71,2,0.942857142857143,0.948412698412698,0.948412698412698,1,70,multiband_title_bsf
1,sqrt,97,2,0.957142857142857,0.964795599937588,0.969047619047619,1,70,multiband_title_bsf
1,0.25,11,2,0.914285714285714,0.927380952380952,0.927380952380952,1,70,multiband_title_bsf
1,0.25,29,2,0.914285714285714,0.923852657004831,0.921825396825397,1,70,multiband_title_bsf
1,0.25,42,2,0.9,0.914833413040013,0.91468253968254,1,70,multiband_title_bsf
1,0.25,71,2,0.928571428571429,0.934669726652649,0.941269841269841,1,70,multiband_title_bsf
1,0.25,97,2,0.957142857142857,0.964795599937588,0.969047619047619,1,70,multiband_title_bsf
1,0.5,11,2,0.914285714285714,0.927380952380952,0.927380952380952,1,70,multiband_title_bsf
1,0.5,29,2,0.9,0.915142904208879,0.907936507936508,1,70,multiband_title_bsf
1,0.5,42,2,0.885714285714286,0.901297977384934,0.900793650793651,1,70,multiband_title_bsf
1,0.5,71,2,0.928571428571429,0.937159108617734,0.941269841269841,1,70,multiband_title_bsf
1,0.5,97,2,0.942857142857143,0.956823325788843,0.95515873015873,1,70,multiband_title_bsf
1,0.75,11,2,0.914285714285714,0.927380952380952,0.927380952380952,1,70,multiband_title_bsf
1,0.75,29,2,0.885714285714286,0.895313540141126,0.894047619047619,1,70,multiband_title_bsf
1,0.75,42,2,0.885714285714286,0.901297977384934,0.900793650793651,1,70,multiband_title_bsf
1,0.75,71,2,0.928571428571429,0.937159108617734,0.941269841269841,1,70,multiband_title_bsf
1,0.75,97,2,0.942857142857143,0.956823325788843,0.95515873015873,1,70,multiband_title_bsf
1,1.0,11,2,0.914285714285714,0.927380952380952,0.927380952380952,1,70,multiband_title_bsf
1,1.0,29,2,0.885714285714286,0.895313540141126,0.894047619047619,1,70,multiband_title_bsf
1,1.0,42,2,0.885714285714286,0.901297977384934,0.900793650793651,1,70,multiband_title_bsf
1,1.0,71,2,0.928571428571429,0.937159108617734,0.941269841269841,1,70,multiband_title_bsf
1,1.0,97,2,0.9,0.809831691297209,0.802380952380952,0.5,70,multiband_title_bsf
2,sqrt,11,2,0.914285714285714,0.884843667196608,0.934126984126984,1,70,multiband_title_bsf
2,sqrt,29,2,0.885714285714286,0.856451272304931,0.907539682539683,1,70,multiband_title_bsf
2,sqrt,42,2,0.9,0.865591684434968,0.91468253968254,1,70,multiband_title_bsf
2,sqrt,71,2,0.9,0.871181252250862,0.926984126984127,1,70,multiband_title_bsf
2,sqrt,97,2,0.928571428571429,0.901227795193312,0.954761904761905,1,70,multiband_title_bsf
2,0.25,11,2,0.9,0.847559499798306,0.926984126984127,1,70,multiband_title_bsf
2,0.25,29,2,0.885714285714286,0.856451272304931,0.907539682539683,1,70,multiband_title_bsf
2,0.25,42,2,0.885714285714286,0.850830727001597,0.900793650793651,1,70,multiband_title_bsf
2,0.25,71,2,0.9,0.871181252250862,0.926984126984127,1,70,multiband_title_bsf
2,0.25,97,2,0.914285714285714,0.886130536130536,0.940873015873016,1,70,multiband_title_bsf
2,0.5,11,2,0.885714285714286,0.832674197072713,0.91031746031746,1,70,multiband_title_bsf
2,0.5,29,2,0.871428571428571,0.841745036572623,0.893650793650794,1,70,multiband_title_bsf
2,0.5,42,2,0.885714285714286,0.850830727001597,0.900793650793651,1,70,multiband_title_bsf
2,0.5,71,2,0.885714285714286,0.830781287677839,0.91031746031746,1,70,multiband_title_bsf
2,0.5,97,2,0.928571428571429,0.895823514008903,0.948015873015873,1,70,multiband_title_bsf
2,0.75,11,2,0.871428571428571,0.82144847687444,0.896428571428571,1,70,multiband_title_bsf
2,0.75,29,2,0.871428571428571,0.83997668997669,0.893650793650794,1,70,multiband_title_bsf
2,0.75,42,2,0.885714285714286,0.85271698516067,0.900793650793651,1,70,multiband_title_bsf
2,0.75,71,2,0.885714285714286,0.830781287677839,0.91031746031746,1,70,multiband_title_bsf
2,0.75,97,2,0.914285714285714,0.858532695374801,0.940873015873016,1,70,multiband_title_bsf
2,1.0,11,2,0.885714285714286,0.812369874529584,0.91031746031746,1,70,multiband_title_bsf
2,1.0,29,2,0.885714285714286,0.893934175277459,0.900793650793651,1,70,multiband_title_bsf
2,1.0,42,2,0.885714285714286,0.850830727001597,0.900793650793651,1,70,multiband_title_bsf
2,1.0,71,2,0.9,0.845374800637958,0.926984126984127,1,70,multiband_title_bsf
2,1.0,97,2,0.914285714285714,0.842769148576771,0.940873015873016,1,70,multiband_title_bsf
3,sqrt,11,2,0.885714285714286,0.828708133971292,0.91031746031746,1,70,multiband_title_bsf
3,sqrt,29,2,0.871428571428571,0.841745036572623,0.893650793650794,1,70,multiband_title_bsf
3,sqrt,42,2,0.871428571428571,0.841745036572623,0.893650793650794,1,70,multiband_title_bsf
3,sqrt,71,2,0.885714285714286,0.856643356643357,0.91031746031746,1,70,multiband_title_bsf
3,sqrt,97,2,0.914285714285714,0.886503537113293,0.938095238095238,1,70,multiband_title_bsf
3,0.25,11,2,0.885714285714286,0.860609419744777,0.91031746031746,1,70,multiband_title_bsf
3,0.25,29,2,0.885714285714286,0.856451272304931,0.907539682539683,1,70,multiband_title_bsf
3,0.25,42,2,0.885714285714286,0.850830727001597,0.900793650793651,1,70,multiband_title_bsf
3,0.25,71,2,0.885714285714286,0.830781287677839,0.91031746031746,1,70,multiband_title_bsf
3,0.25,97,2,0.9,0.871486415882968,0.924206349206349,1,70,multiband_title_bsf
3,0.5,11,2,0.885714285714286,0.832674197072713,0.91031746031746,1,70,multiband_title_bsf
3,0.5,29,2,0.871428571428571,0.841745036572623,0.893650793650794,1,70,multiband_title_bsf
