model,fold,C,gamma,features,fit_files,hold_files,fit_seconds,accuracy,macro_f1,balanced_accuracy,normal_recall,n_files,representation,stage
rbf_file_class_balanced,1,4,2,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.00159337499644607,0.764705882352941,0.78514081027668,0.798319327731092,1,34,one_second,train70
rbf_file_class_balanced,0,16,0.03125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00121166696771979,0.583333333333333,0.47979797979798,0.618055555555556,1,36,one_second,train70
rbf_file_class_balanced,1,16,0.03125,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.00140070798806846,0.617647058823529,0.520833333333333,0.664565826330532,1,34,one_second,train70
rbf_file_class_balanced,0,16,0.125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00119020801503211,0.638888888888889,0.582181259600615,0.725694444444444,1,36,one_second,train70
rbf_file_class_balanced,1,16,0.125,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.0013927920954302,0.823529411764706,0.769476137897191,0.848739495798319,1,34,one_second,train70
rbf_file_class_balanced,0,16,0.5,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00130116695072502,0.583333333333333,0.583333333333333,0.690972222222222,1,36,one_second,train70
rbf_file_class_balanced,1,16,0.5,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.00144362507853657,0.794117647058823,0.748617395676219,0.820961718020542,1,34,one_second,train70
rbf_file_class_balanced,0,16,2,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00154924998059869,0.638888888888889,0.698484848484848,0.71875,1,36,one_second,train70
rbf_file_class_balanced,1,16,2,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.00161433394532651,0.764705882352941,0.78514081027668,0.798319327731092,1,34,one_second,train70
rbf_file_class_balanced,0,64,0.03125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00117054197471589,0.611111111111111,0.553308823529412,0.697916666666667,1,36,one_second,train70
