model,fold,C,gamma,features,fit_files,hold_files,fit_seconds,accuracy,macro_f1,balanced_accuracy,normal_recall,n_files,representation,stage
rbf_class_balanced,1,64,0.125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00195499998517334,0.755555555555556,0.799606775559589,0.818181818181818,1,45,one_second,development93
rbf_class_balanced,0,64,0.5,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00164112495258451,0.875,0.865940766550523,0.92481884057971,1,48,one_second,development93
rbf_class_balanced,1,64,0.5,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00208695908077061,0.822222222222222,0.841483253588517,0.840909090909091,1,45,one_second,development93
rbf_class_balanced,0,64,2,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00207933294586837,0.875,0.905454042081949,0.912961133069829,1,48,one_second,development93
rbf_class_balanced,1,64,2,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00282900000456721,0.866666666666667,0.871342383107089,0.875,1,45,one_second,development93
rbf_class_balanced,0,256,0.03125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00136883393861353,0.75,0.731268731268731,0.814064558629776,1,48,one_second,development93
rbf_class_balanced,1,256,0.03125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.0018895419780165,0.733333333333333,0.787791673661239,0.818181818181818,1,45,one_second,development93
rbf_class_balanced,0,256,0.125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00128891703207046,0.854166666666667,0.848809523809524,0.902091567852437,1,48,one_second,development93
rbf_class_balanced,1,256,0.125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00156791694462299,0.844444444444444,0.867063492063492,0.875,1,45,one_second,development93
rbf_class_balanced,0,256,0.5,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00157991703599691,0.875,0.910714285714286,0.92481884057971,1,48,one_second,development93
rbf_class_balanced,1,256,0.5,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00186179194133729,0.888888888888889,0.891908212560387,0.886363636363636,1,45,one_second,development93
rbf_class_balanced,0,256,2,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.0022560830693692,0.791666666666667,0.811011904761905,0.810194334650856,1,48,one_second,development93
rbf_class_balanced,1,256,2,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00318620901089162,0.866666666666667,0.868846474760117,0.863636363636364,1,45,one_second,development93
rbf_class_balanced,0,1024,0.03125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.001378208049573,0.854166666666667,0.848809523809524,0.902091567852437,1,48,one_second,development93
rbf_class_balanced,1,1024,0.03125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00166475004516542,0.8,0.842032967032967,0.863636363636364,1,45,one_second,development93
rbf_class_balanced,0,1024,0.125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00118895911145955,0.854166666666667,0.893826135105205,0.902091567852437,1,48,one_second,development93
rbf_class_balanced,1,1024,0.125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00144270795863122,0.866666666666667,0.880706287683032,0.886363636363636,1,45,one_second,development93
rbf_class_balanced,0,1024,0.5,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00146033300552517,0.916666666666667,0.938811188811189,0.946557971014493,1,48,one_second,development93
rbf_class_balanced,1,1024,0.5,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00178495806176215,0.888888888888889,0.891908212560387,0.886363636363636,1,45,one_second,development93
rbf_class_balanced,0,1024,2,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00230633292812854,0.791666666666667,0.744839743589744,0.696063899868248,0.5,48,one_second,development93
rbf_class_balanced,1,1024,2,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00313229206949472,0.844444444444444,0.851289428815004,0.840909090909091,1,45,one_second,development93
rbf_file_class_balanced,0,1,0.03125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00159129197709262,0.5,0.433583959899749,0.564558629776021,1,48,one_second,development93
rbf_file_class_balanced,1,1,0.03125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00218604097608477,0.644444444444444,0.561474358974359,0.715909090909091,1,45,one_second,development93
rbf_file_class_balanced,0,1,0.125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00165287510026246,0.645833333333333,0.587546193643755,0.706110013175231,1,48,one_second,development93
rbf_file_class_balanced,1,1,0.125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00220945803448558,0.666666666666667,0.617700894874808,0.75,1,45,one_second,development93
rbf_file_class_balanced,0,1,0.5,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00166383292526007,0.875,0.814512195121951,0.92481884057971,1,48,one_second,development93
rbf_file_class_balanced,1,1,0.5,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00222108396701515,0.8,0.750096899224806,0.829545454545455,1,45,one_second,development93
rbf_file_class_balanced,0,1,2,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00175725005101413,0.875,0.860714285714286,0.912961133069829,1,48,one_second,development93
rbf_file_class_balanced,1,1,2,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00230425002519041,0.822222222222222,0.843614718614718,0.852272727272727,1,45,one_second,development93
rbf_file_class_balanced,0,4,0.03125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.0015951250679791,0.5,0.433583959899749,0.564558629776021,1,48,one_second,development93
rbf_file_class_balanced,1,4,0.03125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00221241696272045,0.644444444444444,0.561474358974359,0.715909090909091,1,45,one_second,development93
